person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
56,21880,MORTGAGE,3.2,PERSONAL,C,16986,21.2,1,0.78,N,8
69,6147,MORTGAGE,18.0,MEDICAL,A,25220,15.28,1,1.5,N,25
46,9454,OWN,0.4,DEBTCONSOLIDATION,D,9446,20.59,1,1.0,N,4
32,35373,RENT,0.0,MEDICAL,D,12749,12.25,0,0.36,N,30
60,89677,RENT,2.4,DEBTCONSOLIDATION,D,23687,7.22,1,0.26,N,19
25,19872,RENT,4.6,EDUCATION,B,39564,13.01,1,1.5,Y,15
38,12125,RENT,5.0,EDUCATION,B,6962,11.54,1,0.57,N,28
56,6207,RENT,3.2,MEDICAL,C,12401,23.94,1,1.5,N,13
36,5509,OWN,0.7,VENTURE,F,582,12.44,1,0.11,N,5
40,30135,OWN,0.9,EDUCATION,E,24847,24.53,0,0.82,N,15
28,35646,RENT,9.6,DEBTCONSOLIDATION,B,6252,11.71,0,0.18,N,18
28,44637,RENT,10.1,PERSONAL,D,28770,23.59,1,0.64,N,5
41,31226,MORTGAGE,5.6,EDUCATION,E,39490,18.9,0,1.26,Y,18
70,38361,RENT,5.5,MEDICAL,B,4168,20.41,0,0.11,N,10
53,88929,OWN,4.6,VENTURE,D,21130,16.34,1,0.24,N,18
57,77044,RENT,1.1,EDUCATION,B,11495,12.04,1,0.15,N,7
41,74462,RENT,2.8,EDUCATION,B,35330,23.27,1,0.47,N,10
20,66954,RENT,6.0,MEDICAL,A,29272,9.38,1,0.44,N,4
39,53287,OWN,3.9,VENTURE,C,35666,21.11,1,0.67,N,22
70,7318,RENT,0.1,HOMEIMPROVEMENT,D,11696,8.34,0,1.5,N,9
19,28086,MORTGAGE,15.3,VENTURE,C,19214,6.25,1,0.68,Y,13
41,41003,RENT,9.3,EDUCATION,A,30868,10.76,1,0.75,N,16
61,15622,RENT,1.5,DEBTCONSOLIDATION,B,29336,15.71,1,1.5,N,29
47,99066,OWN,4.8,HOMEIMPROVEMENT,C,17311,17.17,1,0.17,N,13
55,25580,RENT,12.8,EDUCATION,C,22261,5.73,1,0.87,N,26
19,6530,OWN,0.5,PERSONAL,C,27566,18.93,1,1.5,Y,3
38,24340,RENT,3.5,EDUCATION,A,35384,5.0,1,1.45,N,15
50,45410,RENT,3.0,MEDICAL,D,5941,25.0,0,0.13,Y,17
29,15625,OWN,2.6,DEBTCONSOLIDATION,E,26461,15.67,1,1.5,N,3
39,29825,MORTGAGE,9.0,HOMEIMPROVEMENT,C,10646,10.23,1,0.36,N,3
61,6689,RENT,2.4,DEBTCONSOLIDATION,D,33857,12.83,1,1.5,N,29
42,23234,MORTGAGE,0.3,EDUCATION,E,33766,25.0,0,1.45,N,19
66,33743,RENT,0.3,MEDICAL,C,16813,14.66,1,0.5,N,4
44,31143,MORTGAGE,0.2,EDUCATION,C,27898,13.69,0,0.9,N,27
59,58833,OWN,2.6,PERSONAL,D,9824,18.32,0,0.17,N,3
45,13990,RENT,6.3,VENTURE,B,7932,22.62,1,0.57,N,21
33,43494,RENT,1.1,PERSONAL,C,39224,11.17,1,0.9,N,16
32,50253,RENT,5.2,VENTURE,D,21367,10.62,1,0.43,N,24
64,18353,RENT,5.8,VENTURE,B,34859,15.91,1,1.5,N,19
68,15530,RENT,1.5,HOMEIMPROVEMENT,E,4907,18.83,1,0.32,N,26
61,99581,OWN,4.6,PERSONAL,C,31471,6.24,1,0.32,Y,6
69,26154,MORTGAGE,5.8,HOMEIMPROVEMENT,B,36992,14.44,1,1.41,N,17
20,45012,RENT,3.1,DEBTCONSOLIDATION,C,26791,16.25,0,0.6,N,4
54,46436,RENT,2.1,DEBTCONSOLIDATION,B,12869,17.88,1,0.28,N,17
68,8673,OWN,4.8,HOMEIMPROVEMENT,D,30791,25.0,1,1.5,N,2
24,38962,MORTGAGE,19.0,VENTURE,B,17652,12.43,0,0.45,N,19
38,37479,RENT,2.8,EDUCATION,E,638,19.2,0,0.02,N,21
26,99952,RENT,2.5,VENTURE,C,3025,6.5,1,0.03,N,9
56,37465,RENT,3.1,VENTURE,C,10137,21.63,0,0.27,N,27
35,57298,RENT,0.4,VENTURE,F,34877,12.96,0,0.61,N,25
21,58939,RENT,4.0,HOMEIMPROVEMENT,A,15033,20.68,1,0.26,Y,3
42,26844,RENT,2.0,EDUCATION,D,22327,13.97,1,0.83,N,13
31,124827,RENT,0.6,PERSONAL,A,22868,8.75,1,0.18,N,24
67,17466,OWN,3.1,MEDICAL,D,26236,13.57,1,1.5,Y,30
26,6602,RENT,0.0,EDUCATION,C,18253,24.01,1,1.5,Y,18
43,22431,RENT,2.6,EDUCATION,E,31206,25.0,1,1.39,N,25
70,5309,RENT,0.6,PERSONAL,E,4071,25.0,0,0.77,N,20
19,18496,MORTGAGE,0.1,EDUCATION,A,27298,16.1,1,1.48,N,15
37,33439,MORTGAGE,8.7,HOMEIMPROVEMENT,A,33756,5.0,0,1.01,N,2
45,40274,RENT,12.4,MEDICAL,C,36808,12.73,1,0.91,N,30
64,24534,RENT,1.2,PERSONAL,C,11559,10.79,1,0.47,N,21
24,18342,OWN,3.9,MEDICAL,A,27503,16.17,1,1.5,N,30
61,22168,RENT,1.6,EDUCATION,A,26953,11.85,1,1.22,N,12
25,49401,RENT,3.4,MEDICAL,C,31124,17.33,1,0.63,N,7
64,13061,RENT,2.9,EDUCATION,A,9556,5.0,1,0.73,Y,11
52,18427,MORTGAGE,1.6,DEBTCONSOLIDATION,E,19064,24.66,1,1.03,N,22
31,42599,MORTGAGE,6.0,PERSONAL,D,11720,25.0,1,0.28,N,25
34,35971,OWN,0.7,VENTURE,D,11790,20.39,0,0.33,N,15
53,6220,RENT,0.3,DEBTCONSOLIDATION,A,20518,19.04,1,1.5,N,7
67,68415,MORTGAGE,7.3,DEBTCONSOLIDATION,A,17119,11.57,1,0.25,Y,22
57,22674,MORTGAGE,5.5,PERSONAL,C,16531,5.4,1,0.73,N,8
21,11641,MORTGAGE,3.5,MEDICAL,F,34256,25.0,0,1.5,N,23
19,9069,RENT,3.2,PERSONAL,B,18266,5.18,1,1.5,N,23
23,69080,RENT,3.4,MEDICAL,B,9506,7.86,1,0.14,N,24
59,5000,OWN,2.9,PERSONAL,A,14082,5.0,1,1.5,N,12
21,45322,RENT,2.5,HOMEIMPROVEMENT,C,26765,17.5,0,0.59,N,6
46,60334,RENT,3.5,PERSONAL,C,16408,16.66,1,0.27,N,26
35,24256,RENT,3.8,MEDICAL,A,6129,6.19,1,0.25,N,14
43,93593,MORTGAGE,5.9,MEDICAL,B,19370,23.13,0,0.21,N,28
61,13780,MORTGAGE,6.2,DEBTCONSOLIDATION,C,18549,23.27,1,1.35,N,5
51,49135,RENT,2.4,VENTURE,B,11327,9.6,0,0.23,Y,4
